127.0.0.1, 2018-05-01 13:34:59, GET, /, HTTP/1.1, 303, 0.831568
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/default/index, HTTP/1.1, 200, 1.258533
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003008
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005007
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003007
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002004
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006019
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002006
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001003
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003008
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.036106
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001003
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001003
127.0.0.1, 2018-05-01 13:35:00, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001003
127.0.0.1, 2018-05-01 13:37:40, GET, /, HTTP/1.1, 303, 0.001001
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.025092
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002006
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002004
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001004
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001004
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001004
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:37:40, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002006
127.0.0.1, 2018-05-01 13:37:48, GET, /welcome, HTTP/1.1, 200, 0.031081
127.0.0.1, 2018-05-01 13:38:08, GET, /welcome/layout, HTTP/1.1, 404, 0.016066
127.0.0.1, 2018-05-01 13:38:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001002
127.0.0.1, 2018-05-01 13:38:13, GET, /welcome, HTTP/1.1, 200, 0.026068
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome, HTTP/1.1, 200, 0.027102
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001001
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002006

127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.014037
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:43:58, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 13:43:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:43:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 13:43:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001005
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.038103
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001019
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001001
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.007018
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003007
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003008
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001004
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.016043
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002005
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 13:57:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.002004
127.0.0.1, 2018-05-01 13:57:17, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.037099
127.0.0.1, 2018-05-01 13:57:46, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.036097
127.0.0.1, 2018-05-01 14:16:49, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.040655
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001005
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.004010
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002005
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2018-05-01 14:16:49, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-05-01 14:16:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.017045
127.0.0.1, 2018-05-01 14:16:50, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.005013
